Parcel,Property Address,Community Area,Type,Class,Land Code,Land Use,Acreage,Zoning,Bldg Count,Yr Blt,Improvement Use,Imp Area,Reception Number,Sale Date,Sale Price,Parcels Sold,Assessor Sale Comment
6424306001,4905 IRVING DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6 AO,1,1978,FRAME AVERAGE QUALITY,688,214079106,8/29/14,"133,000",1,Good sale; verified
6424309009,1490 KEITH DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,833,214086628,9/23/14,"90,000",1,Good sale; verified; Estate Sale
6424310007,1285 JET WING CIR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6 AO,1,1981,FRAME AVERAGE QUALITY,"1,160",214100537,10/31/14,"114,900",1,Good sale; verified
6424311021,4950 DOVETAIL LN,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.11,PUD AO,1,2006,FRAME AVERAGE QUALITY,"1,080",214081121,9/5/14,"185,000",1,Good sale; verified
6424311030,1374 FLYCATCHER LN,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.08,PUD AO,1,2005,FRAME AVERAGE QUALITY,700,214076947,8/25/14,"168,000",1,Good sale; verified
6424316007,1032 WEZEL DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6 AO,1,1979,FRAME AVERAGE QUALITY,908,214071132,8/7/14,"156,000",1,Good sale; verified; Changes not yet assessed
6424322004,4859 IRVING DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6 AO,1,1977,FRAME AVERAGE QUALITY,589,214076997,8/25/14,"136,000",1,Good sale; verified
6425005023,1944 AEROTECH DR,SOUTHBOROUGH,NON-RESIDENTIAL,Commercial,2135,WAREHOUSE/STORAGE,1.31,PIP2/CR AO,1,2004,DISTRIBUTION WAREHOUSE,"4,800",214083508,9/12/14,"690,000",1,Good sale; verified
6425201013,4942 OLD FOUNTAIN BLVD,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.24,R1-6 AO,1,1973,FRAME AVERAGE QUALITY,967,214069426,8/1/14,"100,000",1,Good sale; verified
6425209019,1660 NEEDHAM CT,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.22,PUD AO,1,1997,FRAME AVERAGE QUALITY,888,214069579,8/4/14,"177,000",1,Good sale; verified
6425303011,2140 BRUNO CIR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.11,PUD AO,1,1983,FRAME AVERAGE QUALITY,570,214100049,10/30/14,"141,000",1,Good sale; verified
6425304011,2320 BRUNO CIR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.11,PUD AO,1,1983,FRAME AVERAGE QUALITY,711,214074786,8/18/14,"132,500",1,Relocation Sale
6426102015,4522 HARWOOD RD,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6 AO,1,1980,FRAME AVERAGE QUALITY,672,214083333,9/12/14,"139,250",1,"REO,Gvmt,FinInst,Short,PreFC"
6426112006,4427 LANCASTER DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6 AO,1,1981,FRAME AVERAGE QUALITY,808,214086449,9/23/14,"107,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6426113015,1840 DOHERTY RD,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.11,R2/CR AO,1,1981,FRAME AVERAGE QUALITY,912,214083460,9/12/14,"163,000",1,Good sale; verified
6426113021,1760 DOHERTY RD,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.12,R2/CR AO,1,1981,FRAME AVERAGE QUALITY,852,214078279,8/28/14,"90,000",1,Good sale; verified
6426113024,1730 DOHERTY RD,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.11,R2/CR AO,1,1981,FRAME AVERAGE QUALITY,884,214098695,10/28/14,"112,000",1,Good sale; verified
6426114014,4335 BOWMAN CT,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.12,R2/CR AO,1,1982,FRAME AVERAGE QUALITY,808,214079426,9/2/14,"125,000",1,Good sale; verified; Adjusted; may dif. w/doc fee
6426114023,4325 KANALY CT,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,R2/CR AO,1,1982,FRAME AVERAGE QUALITY,792,214081123,9/5/14,"159,000",1,Good sale; verified
6426114026,4320 KANALY CT,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,R2/CR AO,1,1982,FRAME AVERAGE QUALITY,853,214094926,10/16/14,"159,900",1,Good sale; verified
6426208005,4386 HAWKS LOOKOUT LN,SOUTHBOROUGH,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,R5 P AO,1,1986,CONDOMINIUM UNIT,504,214069227,8/1/14,"63,000",1,Good sale; verified
6426208021,4423 HUNTING MEADOWS CIR,SOUTHBOROUGH,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,R5 P AO,1,1986,CONDOMINIUM UNIT,816,214095535,10/17/14,"50,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6426303009,4090 JET WING PL,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.27,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,900,214088497,9/29/14,"168,000",1,Good sale; verified
6426306021,2352 SIERRA SPRINGS DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.08,PUD AO,1,2010,FRAME AVERAGE QUALITY,700,214074581,8/18/14,"155,000",1,Good sale; verified
6426308017,2632 SIERRA SPRINGS DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.07,PUD AO,1,2006,FRAME AVERAGE QUALITY,637,214074869,8/18/14,"172,000",1,Good sale; verified
6426402016,4550 BARKMAN CIR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,931,214091693,10/7/14,"97,500",1,Good sale; verified
6426402019,4580 BARKMAN CIR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,931,214078618,8/28/14,"131,000",1,Good sale; verified
6426406003,2415 W ANJELINA CIR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.22,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,960,214084710,9/17/14,"160,000",1,Good sale; verified
6426408088,4555 LAMPLIGHTER CIR,SOUTHBOROUGH,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,R5 AO,1,1984,CONDOMINIUM UNIT,510,214088754,9/29/14,"56,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6426408132,4533 LAMPLIGHTER CIR,SOUTHBOROUGH,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,R5 AO,1,1985,CONDOMINIUM UNIT,518,214093667,10/14/14,"59,000",1,Good sale; verified
6426416018,2140 GRAFTON DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6 AO,1,1979,FRAME AVERAGE QUALITY,876,214069678,8/4/14,"110,000",1,Good sale; verified
6426419002,2571 ASTROZON CIR,SOUTHBOROUGH,RESIDENTIAL,Residential,1120,MULTI-UNITS (4-8),0.19,R5 AO,1,1983,4 PLEX,"3,288",214073392,8/14/14,"210,000",1,Good sale; verified; Changes not yet assessed
6426421005,2145 FARNSWORTH DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6 AO,1,1979,FRAME AVERAGE QUALITY,882,214094187,10/15/14,1,1,Family/In-House transfer
6426423028,2140 S CHELTON RD,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.25,R1-6 AO,1,1981,FRAME AVERAGE QUALITY,852,214070481,8/5/14,"154,500",1,Good sale; verified
6426425008,2120 ENDICOTT CT,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.20,R1-6 AO,1,1978,FRAME AVERAGE QUALITY,876,214075711,8/20/14,"102,500",1,Good sale; verified; Estate Sale
6426425018,4635 ENDICOTT DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6 AO,1,1978,FRAME AVERAGE QUALITY,996,214087736,9/26/14,"154,000",1,Good sale; verified
6426428031,4774 DOVER DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6 AO,1,1979,FRAME AVERAGE QUALITY,835,214092047,10/8/14,"165,000",1,Good sale; verified
6426428033,4786 DOVER DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6 AO,1,1979,FRAME AVERAGE QUALITY,"1,004",214088152,9/29/14,"111,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6426428052,2443 LEXINGTON VILLAGE LN,SOUTHBOROUGH,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,R5 AO,1,1983,CONDOMINIUM UNIT,510,214091501,10/7/14,"60,500",1,"REO,Gvmt,FinInst,Short,PreFC"
6426428052,2443 LEXINGTON VILLAGE LN,SOUTHBOROUGH,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,R5 AO,1,1983,CONDOMINIUM UNIT,510,214071589,8/8/14,10,1, 
6426428052,2443 LEXINGTON VILLAGE LN,SOUTHBOROUGH,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,R5 AO,1,1983,CONDOMINIUM UNIT,510,214071586,8/8/14,"93,243",1,Foreclosure
6426431009,2025 GRAFTON DR,SOUTHBOROUGH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6 AO,1,1980,FRAME AVERAGE QUALITY,"1,098",214088144,9/29/14,"125,000",1,Good sale; verified
6427101002,1610 CARMEL DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6 AO,1,1971,FRAME AVERAGE QUALITY,833,214096212,10/20/14,"132,000",1,Good sale; verified
6427103006,3310 CALAVERAS WAY,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6,1,1971,FRAME AVERAGE QUALITY,931,214093216,10/10/14,"114,000",1,Good sale; verified
6427104011,1825 PEPPERWOOD DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6 AO,1,1971,FRAME AVERAGE QUALITY,833,214090262,10/2/14,"89,000",1,Good sale; verified
6427104015,3480 CHARWOOD LN,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6 AO,1,1971,FRAME AVERAGE QUALITY,833,214092511,10/9/14,"145,000",1,Good sale; verified
6427112015,1535 PLANEWOOD DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,833,214089753,10/1/14,"134,900",1,Good sale; verified
6427114012,3670 BRIDGEWOOD LN,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,931,214093855,10/14/14,"110,000",1,Good sale; verified
6427115030,3475 MOSSWOOD LN,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,R1-6 AO,1,1972,FRAME AVERAGE QUALITY,833,214098959,10/28/14,"145,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6427120005,3615 TACKWOOD DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6 AO,1,1971,FRAME AVERAGE QUALITY,833,214069531,8/4/14,"141,000",1,Good sale; verified
6427120028,1870 ZEBULON DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.02,PUD AO,1,1984,TOWNHOUSE,480,214097078,10/22/14,"56,500",1,Family/In-House transfer
6427206002,1507 SHASTA DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6,1,1964,FRAME AVERAGE QUALITY,"1,060",214088206,9/29/14,"163,500",1,Good sale; verified
6427208005,1619 SARATOGA DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6,1,1965,FRAME AVERAGE QUALITY,"1,079",214100587,10/31/14,"111,000",1,Good sale; verified
6427214051,2918 CABRILLO CIR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.22,R1-6,1,1966,FRAME AVERAGE QUALITY,"1,092",214085744,9/19/14,"168,000",1,Good sale; verified
6427215005,1834 MONTEZUMA DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6,1,1965,FRAME AVERAGE QUALITY,882,214081730,9/8/14,"85,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6427217016,1934 KODIAK DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6,1,1966,FRAME AVERAGE QUALITY,"1,590",214093467,10/14/14,"186,000",1,Good sale; verified
6427219003,1907 OLYMPIC DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6,1,1965,FRAME AVERAGE QUALITY,"1,551",214096954,10/22/14,"131,500",1,"REO,Gvmt,FinInst,Short,PreFC"
6427219013,1928 CAPULIN DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6,1,1967,FRAME AVERAGE QUALITY,"1,007",214092356,10/9/14,"146,900",1,Good sale; verified
6427303022,2033 MONTEREY RD,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.21,R1-6,1,1966,FRAME AVERAGE QUALITY,"1,109",214084431,9/16/14,"132,000",1,Good sale; verified
6427310017,2130 OLYMPIC DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6,1,1967,FRAME AVERAGE QUALITY,"1,164",214084952,9/17/14,"100,000",1,Good sale; verified
6427317022,2423 TWILIGHT DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,1.20,R1-6,1,1978,FRAME AVERAGE QUALITY,916,214078250,8/28/14,"135,000",1,Good sale; verified
6427317059,2903 FREMONT DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.22,R1-6,1,1966,FRAME AVERAGE QUALITY,907,214088707,9/29/14,"164,000",1,Good sale; verified
6427317079,2925 PINNACLE DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.24,R1-6,1,1968,FRAME AVERAGE QUALITY,"1,140",214080472,9/3/14,"147,900",1,Good sale; verified
6427319006,2023 VENTURA DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6,1,1969,FRAME AVERAGE QUALITY,912,214080442,9/3/14,"153,000",1,Good sale; verified
6427403021,2252 FERNWOOD DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6,1,1970,FRAME AVERAGE QUALITY,852,214077413,8/26/14,"144,900",1,Good sale; verified
6427405015,2219 SONOMA DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.21,R1-6 AO,1,1970,FRAME AVERAGE QUALITY,833,214077883,8/27/14,"135,000",1,Good sale; verified
6427405034,2378 LEXUS DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R1-6 DF AO,1,2004,FRAME AVERAGE QUALITY,"1,105",214097925,10/24/14,"136,000",1,Good sale; verified
6427405044,2413 LEXUS DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6 DF AO,1,2004,FRAME AVERAGE QUALITY,"1,160",214095144,10/17/14,"129,500",1,Good sale; verified; Estate Sale
6427407004,2406 GRANADA DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6 AO,1,1970,FRAME AVERAGE QUALITY,912,214083812,9/15/14,"70,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6427409012,2260 FLINTWOOD DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6 AO,1,1970,FRAME AVERAGE QUALITY,931,214070991,8/7/14,"116,900",1,Good sale; verified
6427410018,2270 PEPPERWOOD DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,R1-6 AO,1,1970,FRAME AVERAGE QUALITY,912,214077425,8/26/14,"72,975",1,Good sale; verified
6428106081,2002 LEGACY RIDGE VW # 206,PIKES PEAK PARK,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,OC,1,2001,CONDOMINIUM UNIT,756,214100411,10/31/14,"59,200",1,Good sale; verified
6428106169,2094 LEGACY RIDGE VW # 111,PIKES PEAK PARK,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,OC,1,2003,CONDOMINIUM UNIT,550,214076458,8/22/14,"70,250",1,"REO,Gvmt,FinInst,Short,PreFC"
6428109025,2719 CARMEL CT,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,PUD,1,1970,FRAME AVERAGE QUALITY,978,214095711,10/17/14,"105,000",1,Good sale; verified
6428112018,2284 ST PAUL DR,SPRING CREEK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.10,PUD/CR UV,1,2003,FRAME AVERAGE QUALITY,680,214071904,8/8/14,"195,000",1,Good sale; verified
6428112040,2414 ST PAUL DR,SPRING CREEK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.07,PUD/CR UV,1,2003,FRAME AVERAGE QUALITY,732,214070408,8/5/14,"174,000",1,Good sale; verified
6428113022,1563 MONTEREY RD UNIT E,SPRING CREEK,RESIDENTIAL,Residential,1130,CONDOMINIUM,0.00,PUD/CR UV,1,2004,CONDOMINIUM UNIT,"1,006",214087029,9/24/14,"79,300",1,"REO,Gvmt,FinInst,Short,PreFC"
6428114007,2128 GILPIN AVE,SPRING CREEK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.04,PUD/CR UV,1,2005,TOWNHOUSE,760,214069663,8/4/14,"150,000",1,Good sale; verified
6428115011,2288 GILPIN AVE,SPRING CREEK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.05,PUD/CR UV,1,2003,TOWNHOUSE,958,214098238,10/27/14,"142,320",1,"REO,Gvmt,FinInst,Short,PreFC"
6428115012,2296 GILPIN AVE,SPRING CREEK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.05,PUD/CR UV,1,2003,TOWNHOUSE,958,214070442,8/5/14,"174,900",1,Good sale; verified
6428116003,2137 GILPIN AVE,SPRING CREEK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.04,PUD/CR UV,1,2004,TOWNHOUSE,760,214079301,8/29/14,"160,000",1,Good sale; verified
6428117013,1748 HERD ST,SPRING CREEK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.08,PUD/CR UV,1,2003,FRAME AVERAGE QUALITY,777,214080761,9/4/14,"174,000",1,Good sale; verified
6428123030,2258 DOWNEND ST,SPRING CREEK,RESIDENTIAL,Vacant,100,VACANT RESIDENTIAL LOTS,0.09,PUD/CR UV, , , , ,214086593,9/23/14,"325,000",10,Multiple properties; Vacant land
6428125015,2220 ST CLAIRE DR,SPRING CREEK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.08,PUD/CR UV,1,2010,FRAME AVERAGE QUALITY,648,214097958,10/24/14,"188,000",1,Good sale; verified
6428405005,2675 STONECROP RIDGE GRV,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.04,PUD,1,2007,TOWNHOUSE,914,214069752,8/4/14,"168,000",1,Good sale; verified
6428405155,2163 SQUAWBUSH RIDGE GRV,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.02,PUD,1,2008,TOWNHOUSE,589,214088630,9/29/14,"78,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6428405275,2810 TUMBLEWOOD GRV,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.04,PUD,1,2005,TOWNHOUSE,636,214100282,10/31/14,"117,000",1,Good sale; verified
6428405432,2954 TUMBLEWOOD GRV,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.03,PUD,1,2007,TOWNHOUSE,946,214088248,9/29/14,"169,900",1,Good sale; verified
6428405474,2318 SPRING BLOSSOM DR,PIKES PEAK PARK,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,PUD,1,2011,FRAME AVERAGE QUALITY,740,214074446,8/18/14,"230,000",1,Good sale; verified
6429201026,2007 S SHERIDAN AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.17,R1-6,1,1954,FRAME AVERAGE QUALITY,796,214080689,9/4/14,"69,000",1,"REO,Gvmt,FinInst,Short,PreFC"
6429205008,1908 S INSTITUTE AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6,1,1953,FRAME AVERAGE QUALITY,760,214092417,10/9/14,"113,400",1,Good sale; verified
6429304019,1212 FALCON AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6,1,1954,FRAME AVERAGE QUALITY,796,214071911,8/8/14,"129,900",1,Good sale; verified
6429307015,1206 NORWOOD AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6,1,1954,FRAME AVERAGE QUALITY,894,214098616,10/27/14,"66,000",1,Good sale; verified
6429307021,1218 NORWOOD AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6,1,1954,FRAME AVERAGE QUALITY,894,214090143,10/2/14,"60,000",1,Good sale; verified
6429310009,1036 NORWOOD AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,R1-6,1,1956,FRAME AVERAGE QUALITY,894,214073382,8/13/14,"46,500",1,Good sale; verified; Estate Sale
6429312005,1131 NORWOOD AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6,1,1956,FRAME AVERAGE QUALITY,894,214093226,10/10/14,"123,000",1,Good sale; verified
6429312032,1124 FLORENCE AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6,1,1956,MASONRY AVERAGE QUALITY,"1,378",214082439,9/10/14,"144,900",1,Good sale; verified
6429315007,1127 FLORENCE AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6,1,1955,FRAME AVERAGE QUALITY,894,214070389,8/5/14,"100,000",1,Good sale; verified
6429323053,2125 MT WERNER CIR,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.19,R1-6,1,1968,FRAME AVERAGE QUALITY,809,214072474,8/11/14,"60,000",1,Good sale; verified; Estate Sale
6429402003,1311 NORWOOD AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6,1,1955,FRAME AVERAGE QUALITY,"1,188",214076656,8/22/14,"95,000",1,Good sale; verified
6429405004,1309 RICHARDS AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.15,R1-6,1,1955,FRAME AVERAGE QUALITY,894,214096985,10/22/14,"100,000",1,Good sale; verified
6429407003,1311 ROCKWOOD AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6,1,1955,FRAME AVERAGE QUALITY,796,214098982,10/28/14,"65,000",1,Good sale; verified
6430101007,514 WARREN AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.24,R1-6,1,1952,FRAME AVERAGE QUALITY,"1,004",214100435,10/31/14,"127,000",1,Good sale; verified
6430101030,550 WARREN AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.23,R1-6,1,1952,FRAME AVERAGE QUALITY,796,214080568,9/4/14,"64,000",1,Good sale; verified
6430104008,515 WARREN AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6,1,1952,FRAME AVERAGE QUALITY,894,214084805,9/17/14,"121,000",1,Good sale; verified
6430104013,529 WARREN AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6,1,1952,FRAME AVERAGE QUALITY,894,214070896,8/7/14,"84,500",1,Good sale; verified; Estate Sale
6430104048,508 WILLIAM AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.14,R1-6,1,1952,FRAME AVERAGE QUALITY,796,214094117,10/14/14,"122,000",1,Good sale; verified
6430108006,529 LYNN AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.16,R1-6,1,1951,FRAME AVERAGE QUALITY,894,214084058,9/15/14,"90,000",1,Cannot Verify; no TD1000
6430109005,610 WARREN AVE,STRATTON MEADOWS,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.13,R1-6,1,1952,FRAME AVERAGE QUALITY,796,214084413,9/16/14,"117,000",1,Good sale; verified
6430204007,138 W RAMONA AVE,IVYWILD,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.20,R2,1,1915,FRAME AVERAGE QUALITY,700,214093952,10/14/14,"80,647",1,Good sale; verified
6430208011,21 CHEYENNE BLVD,IVYWILD,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18,R5,2,1899,FRAME AVERAGE QUALITY,"2,086",214094579,10/15/14,"309,000",2,Multiple res. improvements
6430209016,130 METZLER ST,IVYWILD,RESIDENTIAL,Residential,1125,MULTI_UNIT ( 9 & UP),0.31,R5 SS,1,1951,APARTMENT BUILDING,"5,787",214085739,9/19/14,"585,000",2,Multiple properties
6430209017,1724 MT WASHINGTON AVE,IVYWILD,RESIDENTIAL,Residential,1120,MULTI-UNITS (4-8),0.22,C5,1,1919,5-8 UNITS,"2,641",214085739,9/19/14,"585,000",2,Multiple properties
6430215031,133 W CHEYENNE BLVD,IVYWILD,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.35,R2 PUD,1,1936,FRAME AVERAGE QUALITY,"1,614",214074100,8/15/14,"200,000",1,Good sale; verified
